WPointID;longitude;latitude;Name;UsedInOSE;Notes;PostCode;Name_old
93;14.2761;45.6232;Kortinice;True;;6253.0;Koritnice
94;14.2772;45.5333;Gornji Zemon;True;;6250.0;Jablanice
95;14.3316;46.3434;Gozd;True;;4294.0;Gozd (Križe)
96;14.3322;46.2984;Letenice;True;;4204.0;Golnik
97;14.3327;46.2534;Okroglo;True;;4202.0;Kranj
98;14.3333;46.2084;Spodnje Bitnje;True;;4209.0;Spodnje Bitnje
99;14.3338;46.1635;Suha;True;;4220.0;Škofja Loka
100;14.3354;46.0285;Podolnica;True;;1354.0;Brezje pri Dobrovi
101;14.336;45.9835;Blatna Brezovica;True;;1360.0;Blatna Brezovica
102;14.3365;45.9385;Dol pri Borovnici;True;;1353.0;Borovnica
103;14.337;45.8935;Pokojišče;True;;1353.0;Pokojišče (Brezovica)
104;14.3381;45.8036;Podskrajnik;True;;1380.0;Cerknica
105;14.3971;46.2988;Zgornja Bela;True;;4205.0;Preddvor
106;14.3976;46.2538;Britof;True;;4000.0;Britof (Kranj)
107;14.3981;46.2088;Prebačevo;True;;4000.0;Prebačevo (Kranj)
108;14.3985;46.1638;Podreča;True;;4211.0;Podreča (Medvode)
109;14.399;46.1188;Žlebe;True;;1215.0;Žlebe (Medvode)
110;14.3995;46.0738;Gabrje;True;;1356.0;Gabrje (Dobrova)
111;14.4;46.0289;Brezovica pri Ljubljani;True;;1351.0;Lukovica pri Brezovici
112;14.4005;45.9839;Notranje Gorice;True;;1357.0;Notranje Gorice
113;14.401;45.9389;Kamnik pod Krimom;True;;1352.0;Preserje
114;14.4024;45.8039;Topol pri Begunjah;True;;1382.0;Topol pri Begunjah (begunje pri Cerknici)
115;14.4029;45.7589;Žarovnica;True;;1384.0;Žerovnica (Cerknica)
116;14.462;46.2991;Kokra(Potoče);True;;4205.0;Preddvor (Kranj)
117;14.4624;46.2541;Praprotna Polica;True;;4207.0;Češnjevek (Cerklje na Gorenjskem)
118;14.4628;46.2091;Voglje;True;;4208.0;Letališče Jožeta Pučnika Ljubljana
119;14.4633;46.1641;Smlednik;True;;1216.0;Smlednik
120;14.4637;46.1191;Tacen;True;;1211.0;Zgornje Gameljne
121;14.4642;46.0742;Ljubljana-Koseze;True;;1000.0;Ljubljana - Koseze
122;14.4646;46.0292;Ljubljna-Zahod;True;;1000.0;Ljubljana - Vič
123;14.4676;45.7143;Stari trg pri Ložu;True;;1386.0;Stari trg pri Ložu
124;14.5273;46.2544;Podženik;True;;4207.0;Poženik (Cerklje na Gorenjskem)
125;14.5276;46.2094;Potok pri Komendi;True;;1218.0;Komenda
126;14.528;46.1644;Šinkov Turn;True;;1217.0;Šinkov Turn (Vodice)
127;14.5284;46.1194;Ljubljna-Črnuče;True;;1231.0;Ljubljana - Črnuče
128;14.5288;46.0744;Ljubljana-Žale;True;;1000.0;Ljubljana - Bežigrad
129;14.5292;46.0295;Ljubljana-Rudnik;True;;1000.0;Ljubljana - Rudnik
130;14.5296;45.9845;Iška Loka;True;;1292.0;Ig
131;14.5299;45.9395;Ig-Draga;True;;1292.0;Podgozd (Ig)
132;14.5314;45.7595;Topol pri Begunjah;True;;1385.0;Studenec na Blokah
133;14.5921;46.2546;Stolnik;True;;1242.0;Stolnik (Stahovica)
134;14.5924;46.2097;Podgorje;True;;1241.0;Podgorje (Kamnik)
135;14.5928;46.1647;Radomlje;True;;1235.0;Presarje pri Radomljah
136;14.5931;46.1197;Dragomelj;True;;1230.0;Dragomelj
137;14.5934;46.0747;Ljubljana-Polje;True;;1260.0;Snebrje
138;14.5938;46.0297;Ljubljna-Dobrunje;True;;1261.0;Ljubljana - Dobrunje
139;14.5941;45.9847;Mali Vrh pri Šmarju;True;;1293.0;Mali Vrh pri Šmarju
140;14.5944;45.9397;Vino;True;;1291.0;Vino (Škofljica)
141;14.5957;45.7598;Janeži;True;;1317.0;Janeži (Sodražica)
142;14.596;45.7148;Mali Log;True;;1318.0;Retje
143;14.6575;46.1649;Prevoje pri Šentvidu;True;;1225.0;Prevoje pri Šentvidu (Lukovica)
144;14.6578;46.1199;Dobovlje;True;;1230.0;Sv. Trojica (Domžale)
145;14.6581;46.0749;Podgrad;True;;1000.0;Dol pri Ljubljani
146;14.6586;45.9849;Dobje;True;;1290.0;Dobje (Grosuplje)
147;14.6589;45.9399;Malo Mlačevo;True;;1290.0;Grosuplje
148;14.6594;45.85;Ponikve;True;;1312.0;Ponikve (Velike Lašče)
149;14.6597;45.805;Zlati Rep;True;;1316.0;Zlati rep
150;14.66;45.76;Sinovica;True;;1316.0;Sodražica
151;14.7214;46.345;Podveža;True;;3334.0;Podveža (Luče)
152;14.7216;46.3;Podvolovljek;True;;3334.0;Podvolovjek
153;14.7218;46.255;Bela Peč;True;;1317.0;Bela Peč (Kamnik)
154;14.722;46.21;Sidol;True;;1219.0;Sidol (Laze v Tuhinju)
155;14.7223;46.1651;Vinje pri Moravčah;True;;1251.0;Gradišče pri Lukovici
156;14.7225;46.1201;Zgornji Tuštanj;True;;1251.0;Zgornji Tuštanj (Moravče)
157;14.7227;46.0751;Zgornja Jevnica;True;;1281.0;Zgornja Jevnica (Kresnice)
158;14.7232;45.9851;Blečji Vrh;True;;1290.0;Blečji Vrh (Grosuplje)
159;14.7234;45.9401;Velika Loka;True;;1290.0;Velika Loka (Grosuplje)
160;14.7238;45.8501;Mala vas;True;;1312.0;Mala vas
161;14.7243;45.7602;Dolenji Lazi;True;;1310.0;Breg pri Ribnici
162;14.7245;45.7152;Zadolje;True;;1310.0;Prigorica
163;14.7863;46.3451;Savina;True;;3333.0;Savina (Ljubno ob Savinji)
164;14.7865;46.3001;Lenart pri Gornjem Gradu;True;;3342.0;Lenart pri Gornjem gradu
165;14.7868;46.2102;Liplje;True;;1219.0;Liplje (Laze v Tuhinju)
166;14.7872;46.1202;Dešen;True;;1281.0;Dešen (Kresnice)
167;14.7879;45.9402;Malo Hudo;True;;1295.0;Ivančna Gorica
168;14.788;45.8953;Potok pri Muljavi;True;;1295.0;Muljava
169;14.8513;46.3452;Ljubno ob Savinji;True;;3333.0;Ljubno ob Savinji
170;14.8514;46.3002;Bočna;True;;3342.0;Otok (Gornji Grad)
171;14.8516;46.2103;Špitalič;True;;1221.0;Špitalič (Motnik)
172;14.852;46.0753;Ponoviče;True;;1282.0;Litija
173;14.8521;46.0303;Bogenšperk;True;;1275.0;Bogenšperk
174;14.8523;45.9404;Rodehova vas;True;;1296.0;Radohova vas
175;14.8526;45.8504;Drašča vas;True;;1303.0;Zagradec
176;14.853;45.6704;Gorenje ;True;;1332.0;Kočevje
177;14.8532;45.6254;Dolga vas;True;;1330.0;Dolga vas
178;14.9159;46.5702;Suhi Vrh;True;;2391.0;Suhi Vrh (ravne na Koroškem)
179;14.916;46.5252;Kot pri Prevaljah;True;;2391.0;Kot pri Prevaljah
180;14.9162;46.3453;Dol -Suha;True;;3332.0;Dol - Suha (Rečica pri Savinji)
181;14.9163;46.3003;Pusto Polje;True;;3331.0;Spodnje Podbrežje (Rečica pri Savinji)
182;14.9165;46.1654;Orehovica;True;;1411.0;Orehovica (Izlake)
183;14.9168;45.9404;Gornje Prapreče;True;;8213.0;Veliki Gaber
184;14.917;45.8504;Dolnji Križ;True;;8260.0;Prapreče (Žužemberk)
185;14.9811;46.5253;Kotlje;True;;2394.0;Kotlje (Ravne na Koroškem)
186;14.9812;46.3453;Ljubija;True;;3330.0;Ljubija (Mozirje)
187;14.9812;46.2554;Stopnik;True;;3305.0;Prekopa (Vransko)
188;14.9813;46.1204;Družina;True;;1410.0;Zagorje ob Savi
189;14.9813;45.9854;Tlaka;True;;1274.0;Tlaka (Gabrovka)
190;14.9813;45.9404;Škovec;True;;8212.0;Škovec (Velika Loka)
191;14.9813;45.8955;Grmada;True;;8210.0;Grmada (Trebnje)
192;15.0464;46.6152;Ojstrica;True;;2370.0;Ojstrica (Dravograd)
193;15.0463;46.5702;Otniški Vrh;True;;2373.0;Šentjanž pri Dravogradu
194;15.0463;46.5253;Slovenj Gradec;True;;2380.0;Gmajna (Slovenj Gradec)
195;15.0463;46.4803;Raduše;True;;2381.0;Raduše (Podgorje pri Slovenj Gradcu)
196;15.0462;46.4353;Ravne;True;;3325.0;Ravne (Šoštanj)
197;15.0462;46.3903;Šoštanj;True;;3325.0;Šoštanj
198;15.0462;46.3453;Veliki Vrh;True;;3327.0;Veliki Vrh (Šmartno ob Paki)
199;15.0461;46.3003;Male Braslovče;True;;3314.0;Male Braslovče
200;15.0461;46.2553;Gomilsko;True;;3303.0;Gomilsko
201;15.046;46.1654;Trbovlje;True;;1420.0;Trbovlje
202;15.046;46.1204;Škofja Riža;True;;1423.0;Škofja Riža (Trbovlje)
203;15.0459;46.0304;Dole pri Litiji;True;;1273.0;Dole pri Litiji
204;15.0458;45.9404;Brezovica pri Mirni;True;;8233.0;Brezovica pri Mirni
205;15.0458;45.8954;Dolenje Ponikve;True;;8210.0;Dolenje Ponikve
206;15.0456;45.7605;Meniška vas;True;;8350.0;Dolenjske Toplice (Meniška vas)
207;15.1117;46.6152;Gortina;True;;2366.0;Vrata (Radlje ob Dravi)
208;15.1115;46.5252;Gradišče ;True;;2380.0;Gradišče (Slovenj Gradec)
209;15.1114;46.4802;Šmartno pri Slovenj Gradcu;True;;2383.0;Šmartno pri Slovenj Gradcu
210;15.1113;46.4352;Graška Gora;True;;2381.0;Graška Gora
211;15.1112;46.3903;Hrastovec;True;;3320.0;Hrastovec (Velenje)
212;15.1111;46.3453;Kavče;True;;33320.0;Kavče (Velenje)
213;15.111;46.3003;Založe ;True;;3313.0;Založe
214;15.1109;46.2553;Šempeter v Savinjski Dolina;True;;3311.0;Šempeter v Savinjski Dolini
215;15.1107;46.1653;Kal;True;;1431.0;Kal (Hrastnik)
216;15.1106;46.1203;Krnice;True;;1430.0;Podkraj (Hrastnik)
217;15.1106;46.0754;Zagrad;True;;1433.0;Zagrad (Radeče)
218;15.1104;45.9854;Hrastno;True;;8232.0;Šentrupert
219;15.1102;45.8954;Radna vas;True;;8231.0;Radna vas
220;15.1101;45.8504;Veliki Kal;True;;8216.0;Šranga
221;15.11;45.8054;Podgora;True;;8351.0;Letališče Prečna (Novo mesto)
222;15.1099;45.7604;Gornje Mraščevo;True;;8000.0;Gorenje Mraševo
223;15.177;46.6151;Muta;True;;2366.0;Muta
224;15.1768;46.5701;Sveti Primož na Pohorju;True;;2367.0;Sveti Primož na Pohorju
